Sl. No.,NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
1,AFGHANISTAN,42144,36124,248.2,1187
2,AUSTRALIA,19065,20407,296.3,508.8
3,AUSTRIA,8660,5429,295.5,166.3
4,AZERBAIJAN,0,0,0,0
5,BAHRAIN,133827,125136,316,2341.7
6,BANGLADESH,135508,140503,819.1,857.8
7,BELGIUM,15153,10895,710.8,1084.6
8,BHUTAN,15030,14019,0.9,23.3
9,BURMA,11921,10902,0.1,78.1
10,CANADA,62639,57461,612.5,1222.4
11,CHINA,90622,84831,5733.3,2418.3
12,DENMARK,8442,6218,116,266.2
13,EGYPT,5630,5988,71,218.4
14,ETHIOPIA,57289,53387,979.3,3451.9
15,FINLAND,17039,13588,525.9,724.1
16,FRANCE,129371,108631,5955.4,6044.8
17,GERMANY,188466,149665,12736,15774.5
18,HONG KONG,195872,179944,29655.4,16204.8
19,INDONESIA,16458,17962,7.4,118.9
20,IRAN,8588,8229,30.9,287.3
21,IRAQ,6862,6703,0,0
22,ISRAEL,8309,7559,310.7,407.3
23,ITALY,21185,15319,1037.3,387.6
24,JAPAN,50544,50092,3649.1,2062.2
25,KAZAKHSTAN,17301,15172,7,156.9
26,KENYA,24784,22001,31.6,462.9
27,KOREA,39099,35045,1239.1,993.3
28,KUWAIT,156594,152699,2107.3,6524.8
29,KYRGYZSTAN,4651,4870,4.8,39
30,MALAYSIA,362430,348356,4623.6,5120
31,MALDIVES,39481,37700,1.3,592.9
32,MAURITIUS,27419,23515,218.3,1129.3
33,NEPAL,132739,127614,176.6,553.2
34,NETHERLANDS,101816,87289,5074.6,5634
35,OMAN,432017,411334,547.6,4786
36,PAKISTAN,589,985,0.5,0.3
37,QATAR,415209,382398,17207.9,29726
38,REUNION,1485,1138,2,15.7
39,RUSSIA,66024,55696,123.3,1822.2
40,RWANDA,3120,2728,0,0
41,SAUDI ARABIA,431772,410010,2205.8,12707.9
42,SEYCHELLES,7963,7524,1.6,148.2
43,SINGAPORE,572609,528732,14735.8,16430.7
44,SOUTH AFRICA,0,0,0,0
45,SPAIN,7638,5514,78.7,243.6
46,SRI LANKA,325751,332709,4215.9,6106.9
47,SWEDEN,8033,6135,119.8,83.1
48,SWITZERLAND,38149,35471,2547.7,3113.8
49,TAIWAN,9043,7444,911.9,415.7
50,TAJIKISTAN,1500,1591,2,38.3
51,THAILAND,449178,441605,11590.9,8350.5
52,TURKEY,67330,61984,3292.3,4406.7
53,TURKMENISTAN,17193,13061,0,120.8
54,UNITED ARAB EMIRATES,2459014,2350725,21954.1,64688.3
55,UNITED KINGDOM,362846,290442,12666.2,21404
56,UNITED STATES,160142,136347,2449,3383.9
57,UZBEKISTAN,13886,12341,984.8,1187
58,VIETNAM,0,0,0,0
59,YEMEN,1990,2205,0,9.3
TOTAL,TOTAL,8007419,7481372,173229.1,256231.2
